"ID","nadconVersion","vertconVersion","srcDatum","destDatum","srcVertDatum","destVertDatum","srcLat","srcLatDms","destLat","destLatDms","srcLon","srcLonDms","destLon","destLonDms","srcEht","destEht","srcOrthht","destOrthoht","sigLat","sigLon","sigLat_m","sigLon_m","sigEht","sigOrthoht","deltaLat","deltaLon","spcZone","spcNorthing_m","spcEasting_m","spcNorthing_usft","spcEasting_usft","spcNorthing_ift","spcEasting_ift","spcConvergence","spcScaleFactor","spcCombinedFactor","utmZone","utmNorthing","utmEasting","utmConvergence","utmScaleFactor","utmCombinedFactor","x","y","z","usng"
"﻿ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57200","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5529555296","N403310.63991","40.5529555296","N403310.63991","-74.1682234863","W0741005.60455","-74.1682234863","W0741005.60455","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","42,909.220","285,751.181","140,778.000","937,502.000","140,778.282","937,503.875","-00 06 36.12","1.00000828","N/A","UTM Zone 18","4,489,465.174","570,424.570","00 32 26.89","0.99966105","N/A","N/A","N/A","N/A","18TWK7042489465"
"57750","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6307195401","N403750.59034","40.6307195401","N403750.59034","-74.1618193304","W0740942.54959","-74.1618193304","W0740942.54959","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","51,543.612","286,309.576","169,106.000","939,334.000","169,106.338","939,335.879","-00 06 21.04","1.00000219","N/A","UTM Zone 18","4,498,102.386","570,884.630","00 32 44.99","0.99966185","N/A","N/A","N/A","N/A","18TWK7088498102"
"58150","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5597193040","N403334.98949","40.5597193040","N403334.98949","-74.1697124618","W0741010.96486","-74.1697124618","W0741010.96486","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","43,660.554","285,626.518","143,243.000","937,093.000","143,243.286","937,094.874","-00 06 39.62","1.00000767","N/A","UTM Zone 18","4,490,214.783","570,291.426","00 32 23.67","0.99966082","N/A","N/A","N/A","N/A","18TWK7029190214"
"58250","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5470034914","N403249.21257","40.5470034914","N403249.21257","-74.1799314431","W0741047.75320","-74.1799314431","W0741047.75320","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","42,250.241","284,758.141","138,616.000","934,244.000","138,616.277","934,245.868","-00 07 03.68","1.00000882","N/A","UTM Zone 18","4,488,795.191","569,439.422","00 31 59.25","0.99965935","N/A","N/A","N/A","N/A","18TWK6943988795"
"58300","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5359049994","N403209.25800","40.5359049994","N403209.25800","-74.1523007489","W0740908.28270","-74.1523007489","W0740908.28270","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","41,013.360","287,096.571","134,558.000","941,916.000","134,558.269","941,917.884","-00 05 58.62","1.00000985","N/A","UTM Zone 18","4,487,585.368","571,790.930","00 33 03.47","0.99966344","N/A","N/A","N/A","N/A","18TWK7179087585"
"58350","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5365938124","N403211.73772","40.5365938124","N403211.73772","-74.1544573048","W0740916.04630","-74.1544573048","W0740916.04630","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","41,090.170","286,913.995","134,810.000","941,317.000","134,810.270","941,318.883","-00 06 03.70","1.00000979","N/A","UTM Zone 18","4,487,660.074","571,607.557","00 32 58.45","0.99966312","N/A","N/A","N/A","N/A","18TWK7160787660"
"58400","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5498919842","N403259.61114","40.5498919842","N403259.61114","-74.1879095843","W0741116.47450","-74.1879095843","W0741116.47450","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","42,572.416","284,083.007","139,673.000","932,029.000","139,673.279","932,030.864","-00 07 22.47","1.00000855","N/A","UTM Zone 18","4,489,109.566","568,760.910","00 31 40.69","0.99965820","N/A","N/A","N/A","N/A","18TWK6876089109"
"58600","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5079827125","N403028.73777","40.5079827125","N403028.73777","-74.2294131173","W0741345.88722","-74.2294131173","W0741345.88722","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","37,926.949","280,555.245","124,432.000","920,455.000","124,432.249","920,456.841","-00 09 00.20","1.00001263","N/A","UTM Zone 18","4,484,425.998","565,287.370","00 30 02.00","0.99965247","N/A","N/A","N/A","N/A","18TWK6528784425"
"58650","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.5023133224","N403008.32796","40.5023133224","N403008.32796","-74.2446686367","W0741440.80709","-74.2446686367","W0741440.80709","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","37,300.889","279,260.452","122,378.000","916,207.000","122,378.245","916,208.832","-00 09 36.12","1.00001322","N/A","UTM Zone 18","4,483,785.507","564,000.235","00 29 26.12","0.99965042","N/A","N/A","N/A","N/A","18TWK6400083785"
"58850","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6065900128","N403623.72405","40.6065900128","N403623.72405","-74.1191705617","W0740709.01402","-74.1191705617","W0740709.01402","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","48,858.319","289,914.148","160,296.000","951,160.000","160,296.321","951,161.902","-00 04 40.61","1.00000388","N/A","UTM Zone 18","4,495,459.144","574,518.272","00 34 23.97","0.99966835","N/A","N/A","N/A","N/A","18TWK7451895459"
